00:00:01.920 - 00:00:03.074, Speaker A: Oh lapis wow.
01:45:12.784 - 01:45:15.684, Speaker A: Todomonukifala Lingua Spanola.
01:45:21.064 - 01:45:44.986, Speaker B: June to me as your dot and bay Portuguese a ki jpevo says commercial with a change face tell me no.
01:45:45.010 - 01:45:57.094, Speaker A: Bain Fibonacci temples now you sing Damism.
01:46:13.914 - 01:47:12.854, Speaker B: Galera falo Masvalidas Prajinchi Baton Papa Cell of a participant professional being a hate cell Passado pray presents a key limb cg post chain link those moving quatro intelligent link dos moving squat.
01:47:24.254 - 01:47:54.824, Speaker A: Tokum was Yoshi Vasipajiki Komojashi bank follow Prajnanda Falandala Fernandal ashtavione notes for undo as are le contra to jump travel internal.
01:48:01.804 - 01:48:08.944, Speaker B: In Portuguese aja monster so aja najeta.
01:48:10.804 - 01:48:19.224, Speaker A: Kabu but my naola madaska judah.
01:48:23.764 - 01:48:27.944, Speaker B: Most Patrocina jina soul.
01:48:32.004 - 01:48:40.184, Speaker A: Oh, Jeffrey followed the jink.
01:48:43.254 - 01:48:51.654, Speaker B: To the moon. Jeff.
