title,authors,pdf_link,release_date
Measuring the Concentration of Control in Contemporary Ethereum,Simon Brown,https://eprint.iacr.org/2023/1493,2023-10-03
An Axiomatic Characterization of CFMMs and Equivalence to Prediction Markets,"Rafael Frongillo, Maneesha Papireddygari, Bo Waggoner",http://arxiv.org/pdf/2302.00196v2,2023-02-01
Detecting Depegs: Towards Safer Passive Liquidity Provision on Curve Finance,"Thomas N. Cintra, Maxwell P. Holloway",http://arxiv.org/pdf/2306.10612v1,2023-06-18
Complexity-Approximation Trade-offs in Exchange Mechanisms: AMMs vs. LOBs,"Jason Milionis, Ciamac C. Moallemi, Tim Roughgarden",http://arxiv.org/pdf/2302.11652v3,2023-02-22
Multi-block MEV,"Johannes Rude Jensen, Victor von Wachter, Omri Ross",http://arxiv.org/pdf/2303.04430v2,2023-03-08
UniswapX,"Hayden Adams, Noah Zinsmeister, Mark Toda, Emily Williams, Xin Wan, Matteo Leibowitz, Will Pote, Allen Lin, Eric Zhong, Zhiyuan Wang, Riley Campbell, Alex Karys, Dan Robinson",https://uniswap.org/whitepaper-uniswapx.pdf,2023-07-17
Transaction Fee Mechanism Design,Tim Roughgarden,http://arxiv.org/pdf/2106.01340v2,2021-06-02
Adversarial blockchain queues and trading on a CFMM,Andrew W. Macpherson,http://arxiv.org/pdf/2302.01663v2,2023-02-03
Applications of Mean Field Games in Financial Engineering and Economic Theory,Rene Carmona,http://arxiv.org/pdf/2012.05237v1,2020-12-09
Unity is Strength: A Formalization of Cross-Domain Maximal Extractable Value,"Alexandre Obadia, Alejo Salles, Lakshman Sankar, Tarun Chitra, Vaibhav Chellani, Philip Daian",http://arxiv.org/pdf/2112.01472v2,2021-12-02
F3B: A Low-Overhead Blockchain Architecture with Per-Transaction Front-Running Protection,"Haoqian Zhang, Louis-Henri Merino, Ziyan Qu, Mahsa Bastankhah, Vero Estrada-Galinanes, Bryan Ford",http://arxiv.org/pdf/2205.08529v3,2022-05-17
Towards a Theory of Maximal Extractable Value I: Constant Function Market Makers,"Kshitij Kulkarni, Theo Diamandis, Tarun Chitra",http://arxiv.org/pdf/2207.11835v2,2022-07-24
An Automated Market Maker Minimizing Loss-Versus-Rebalancing,"Conor McMenamin, Vanesa Daza, Bruno Mazorra",http://arxiv.org/pdf/2210.10601v2,2022-10-19
Axioms for Constant Function Market Makers,"Jan Christoph Schlegel, Mateusz Kwaśnicki, Akaki Mamageishvili",http://arxiv.org/pdf/2210.00048v4,2022-09-30
Order but Not Execute in Order,"Tiantian Gong, Aniket Kate",http://arxiv.org/pdf/2302.01177v3,2023-02-02
SoK: Validating Bridges as a Scaling Solution for Blockchains,"Patrick McCorry, Chris Buckland, Bennet Yee, Dawn Song",https://eprint.iacr.org/2021/1589,2021-12-06
Electronic trading and market structure,Albert J. Menkveld,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/289025/11-1234-dr16-electronic-trading-and-market-structure.pdf,2011-09-07
Optimal Trading in Automatic Market Makers with Deep Learning,"Sebastian Jaimungal, Yuri F. Saporito, Max O. Souza, Yuri Thamsten",http://arxiv.org/pdf/2304.02180v1,2023-04-05
Lanturn: Measuring Economic Security of Smart Contracts Through Adaptive Learning,"Kushal Babel, Mojan Javaheripi, Yan Ji, Mahimna Kelkar, Farinaz Koushanfar, Ari Juels",https://eprint.iacr.org/2023/1338,2023-09-08
On the Instability of Bitcoin Without the Block Reward,"Miles Carlsten, Harry Kalodner, S. Matthew Weinberg, Arvind Narayanan",https://www.cs.princeton.edu/~arvindn/publications/mining_CCS.pdf,2016-10-21
Tackling the Problem of State Dependent Execution Probability: Empirical Evidence and Order Placement,"Timothée Fabre, Vincent Ragel",http://arxiv.org/pdf/2307.04863v1,2023-07-10
Clockwork Finance: Automated Analysis of Economic Security in Smart Contracts,"Kushal Babel, Philip Daian, Mahimna Kelkar, Ari Juels",http://arxiv.org/pdf/2109.04347v2,2021-09-09
FairTraDEX: A Decentralised Exchange Preventing Value Extraction,"Conor McMenamin, Vanesa Daza, Matthias Fitzi, Padraic ODonoghue",https://eprint.iacr.org/2022/155,2022-08-04
A Study of MEV Extraction Techniques on a First-Come-First-Served Blockchain,"Burak Öz, Filip Rezabek, Jonas Gebele, Felix Hoops, Florian Matthes",http://arxiv.org/pdf/2308.06513v2,2023-08-12
"Battle of the Bots: Flash Loans, Miner Extractable Value and Efficient Settlement","Alfred  Lehar, Christine A. Parlour",https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID4382292_code244292.pdf?abstractid=4382292&mirid=1,2023-03-13
Undetectable Selfish Mining,"Maryam Bahrani, S. Matthew Weinberg",http://arxiv.org/pdf/2309.06847v1,2023-09-13
Frontrunner Jones and the Raiders of the Dark Forest: An Empirical Study of Frontrunning on the Ethereum Blockchain,"Christof Ferreira Torres, Ramiro Camino, Radu State",http://arxiv.org/pdf/2102.03347v2,2021-02-05
Time to Bribe: Measuring Block Construction Market,"Anton Wahrstätter, Liyi Zhou, Kaihua Qin, Davor Svetinovic, Arthur Gervais",http://arxiv.org/pdf/2305.16468v2,2023-05-25
Game Manipulators -- the Strategic Implications of Binding Contracts,"Maria Alejandra Ramirez, Yoav Kolumbus, Rosemarie Nagel, David Wolpert, Jürgen Jost",http://arxiv.org/pdf/2311.10586v2,2023-11-17
An AMM minimizing user-level extractable value and loss-versus-rebalancing,"Conor McMenamin, Vanesa Daza",http://arxiv.org/pdf/2301.13599v2,2023-01-31
On the Just-In-Time Discovery of Profit-Generating Transactions in DeFi Protocols,"Liyi Zhou, Kaihua Qin, Antoine Cully, Benjamin Livshits, Arthur Gervais",http://arxiv.org/pdf/2103.02228v1,2021-03-03
High-Frequency Trading on Decentralized On-Chain Exchanges,"Liyi Zhou, Kaihua Qin, Christof Ferreira Torres, Duc V Le, Arthur Gervais",http://arxiv.org/pdf/2009.14021v1,2020-09-29
Maximal Extractable Value (MEV) Protection on a DAG,"Dahlia Malkhi, Pawel Szalachowski",http://arxiv.org/pdf/2208.00940v4,2022-08-01
Censorship Resistance in On-Chain Auctions,"Elijah Fox, Mallesh Pai, Max Resnick",http://arxiv.org/pdf/2301.13321v2,2023-01-30
Specular: Towards Trust-minimized Blockchain Execution Scalability with EVM-native Fraud Proofs,"Zhe Ye, Ujval Misra, Dawn Song",http://arxiv.org/pdf/2212.05219v1,2022-12-10
Bribes to Miners: Evidence from Ethereum,Xiaotong Sun,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3940678,2022-06-06
Quantifying MEV On Layer 2 Networks,"Arthur Bagourd, Luca Georges Francois",http://arxiv.org/pdf/2309.00629v1,2023-08-07
Threshold Encrypted Mempools: Limitations and Considerations,"Antoine Rondelet, Quintus Kilbourn",http://arxiv.org/pdf/2307.10878v2,2023-07-20
Can You hear the Shape of a Market? Geometric Arbitrage and Spectral Theory,"Simone Farinelli, Hideyuki Takada",http://arxiv.org/pdf/1509.03264v6,2015-09-02
Differential Liquidity Provision in Uniswap v3 and Implications for Contract Design,"Zhou Fan, Francisco Marmolejo-Cossío, Ben Altschuler, He Sun, Xintong Wang, David C. Parkes",http://arxiv.org/pdf/2204.00464v2,2022-04-01
"DAO Decentralization: Voting-Bloc Entropy, Bribery, and Dark DAOs","James Austgen, Andrés Fábrega, Sarah Allen, Kushal Babel, Mahimna Kelkar, Ari Juels",http://arxiv.org/pdf/2311.03530v1,2023-11-06
"Flash Boys 2.0: Frontrunning, Transaction Reordering, and Consensus Instability in Decentralized Exchanges","Philip Daian, Steven Goldfeder, Tyler Kell, Yunqi Li, Xueyuan Zhao, Iddo Bentov, Lorenz Breidenbach, Ari Juels",http://arxiv.org/pdf/1904.05234v1,2019-04-10
"Towards Optimal Prior-Free Permissionless Rebate Mechanisms, with applications to Automated Market Makers & Combinatorial Orderflow Auctions","Bruno Mazorra, Nicolás Della Penna",http://arxiv.org/pdf/2306.17024v1,2023-06-29
Decentralised Finance and Automated Market Making: Predictable Loss and Optimal Liquidity Provision,"Álvaro Cartea, Fayçal Drissi, Marcello Monga",https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID4573021_code2220667.pdf?abstractid=4273989&mirid=1,2023-10-28
Transaction Fee Mechanism Design for the Ethereum Blockchain: An Economic Analysis of EIP-1559,Tim Roughgarden,http://arxiv.org/pdf/2012.00854v1,2020-12-01
On-Chain Auctions with Deposits,"Jan Christoph Schlegel, Akaki Mamageishvili",http://arxiv.org/pdf/2103.16681v4,2021-03-30
Motorway: Seamless high speed BFT,"Neil Giridharan, Florian Suri-Payer, Ittai Abraham, Lorenzo Alvisi, Natacha Crooks",http://arxiv.org/pdf/2401.10369v1,2024-01-18
The Specter (and Spectra) of Miner Extractable Value,"Guillermo Angeris, Tarun Chitra, Theo Diamandis, Kshitij Kulkarni",https://angeris.github.io/papers/mev-symmetric.pdf,2023-08-25
Tail Protection for Long Investors: Trend Convexity at Work,"Tung-Lam Dao, Trung-Tu Nguyen, Cyril Deremble, Yves Lemperiere, Jean-Philippe  Bouchaud , Marc Potters",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2777657,2016-07-07
SoK: Mitigation of Front-running in Decentralized Finance,"Carsten Baum, James Hsin-yu Chiang, Bernardo David, Tore Kasper Frederiksen, Lorenzo Gentile",https://eprint.iacr.org/2021/1628,2022-07-19
Dynamic Pricing for Non-fungible Resources: Designing Multidimensional Blockchain Fee Markets,"Theo Diamandis, Alex Evans, Tarun Chitra, Guillermo Angeris",http://arxiv.org/pdf/2208.07919v2,2022-08-16
"Themis: Fast, Strong Order-Fairness in Byzantine Consensus","Mahimna Kelkar, Soubhik Deb, Sishan Long, Ari Juels, Sreeram Kannan",https://eprint.iacr.org/2021/1465,2022-11-29
An Empirical Study on Ethereum Private Transactions and the Security Implications,"Xingyu Lyu, Mengya Zhang, Xiaokuan Zhang, Jianyu Niu, Yinqian Zhang, Zhiqiang Lin",http://arxiv.org/pdf/2208.02858v1,2022-08-04
Compositional game theory,"Neil Ghani, Jules Hedges, Viktor Winschel, Philipp Zahn",http://arxiv.org/pdf/1603.04641v3,2016-03-15
TEX - A Securely Scalable Trustless Exchange,"Rami Khalil, Arthur Gervais, Guillaume Felley",https://eprint.iacr.org/2019/265,2019-03-06
Automated Market Makers: Mean-Variance Analysis of LPs Payoffs and Design of Pricing Functions,"Philippe Bergault, Louis Bertucci, David Bouba, Olivier Guéant",http://arxiv.org/pdf/2212.00336v3,2022-12-01
SquirRL: Automating Attack Analysis on Blockchain Incentive Mechanisms with Deep Reinforcement Learning,"Charlie Hou, Mingxun Zhou, Yan Ji, Phil Daian, Florian Tramer, Giulia Fanti, Ari Juels",http://arxiv.org/pdf/1912.01798v2,2019-12-04
FairBlock: Preventing Blockchain Front-running with Minimal Overheads,"Peyman Momeni, Sergey Gorbunov, Bohan Zhang",https://eprint.iacr.org/2022/1066,2022-08-17
The Sleepy Model of Consensus,"Rafael Pass, Elaine Shi",https://eprint.iacr.org/2016/918,2017-05-11
Real-time Risk Metrics for Programmatic Stablecoin Crypto Asset-Liability Management (CALM),"Marcel Bluhm, Adrian Cachinero Vasiljević, Sébastien Derivaux, Søren Terp Hørlück Jessen",http://arxiv.org/pdf/2401.13399v1,2024-01-24
The Centralizing Effects of Private Order Flow on Proposer-Builder Separation,"Tivas Gupta, Mallesh M Pai, Max Resnick",http://arxiv.org/pdf/2305.19150v2,2023-05-30
Combinatorial Information Market Design,Robin Hanson,https://healy.econ.ohio-state.edu/pubfiles/infomkts/litreview/Hanson%20-%20Combinatorial%20Information%20Market%20Design%2003.pdf,2003-01-01
"Estimating (Miner) Extractable Value is Hard, Let’s Go Shopping!","Aljosha Judmayer, Nicholas Stifter, Philipp Schindler, Edgar Weippl",https://eprint.iacr.org/2021/1231,2022-04-26
Mediated Multi-Agent Reinforcement Learning,"Dmitry Ivanov, Ilya Zisman, Kirill Chernyshev",http://arxiv.org/pdf/2306.08419v1,2023-06-14
A Simple Theory of Vampire Attacks,"John William Hatfield, Scott Duke Kominers",https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID4533858_code948710.pdf?abstractid=4377561&mirid=1,2023-08-08
A Flash(bot) in the Pan: Measuring Maximal Extractable Value in Private Pools,"Ben Weintraub, Christof Ferreira Torres, Cristina Nita-Rotaru, Radu State",http://arxiv.org/pdf/2206.04185v2,2022-06-08
The Value of Nontoxic Orderflow to the Uniswap Protocol,Max Holloway,https://xenophonlabs.com/papers/uniswap_valuing_orderflow.pdf,2023-01-30
The State Of The Onchain Structured Product Market,Index Coop,https://assets.website-files.com/62e3ff7a08cb1968bf057388/64ad5793771455690c6d1835_Index%20Coop%20-%20State%20of%20Onchain%20Strutured%20Products.pdf,2023-07-11
An Introduction to Market Microstructure Invariance,"Albert S. Kyle, Anna A. Obizhaeva",https://www.imperial.ac.uk/media/imperial-college/research-centres-and-groups/cfm-imperial-institute-of-quantitative-finance/events/20160511-Kyle-Obizhaeva-Invariance-SLIDES-Imperial-45.pdf,2016-05-24
Blockchain Censorship,"Anton Wahrstätter, Jens Ernstberger, Aviv Yaish, Liyi Zhou, Kaihua Qin, Taro Tsuchiya, Sebastian Steinhorst, Davor Svetinovic, Nicolas Christin, Mikolaj Barczentewicz, Arthur Gervais",http://arxiv.org/pdf/2305.18545v2,2023-05-29
Automated Market Making and Arbitrage Profits in the Presence of Fees,"Jason Milionis, Ciamac C. Moallemi, Tim Roughgarden",https://moallemi.com/ciamac/papers/lvr-fee-model-2023.pdf,2023-05-25
SoK: Algorithmic Incentive Manipulation Attacks on Permissionless PoW Cryptocurrencies,"Aljosha Judmayer, Nicholas Stifter, Alexei Zamyatin, Itay Tsabary, Ittay Eyal, Peter Gaži, Sarah Meiklejohn, Edgar Weippl",https://eprint.iacr.org/2020/1614,2021-03-01
Concept Release on Equity Market Structure: Release No. 34-61358; File No. S7-02-10,Ann Vlcek,https://www.sifma.org/wp-content/uploads/2017/05/sifma-submits-comments-to-the-sec-regarding-concept-release-on-equity-market-structure.pdf,2010-04-29
Mempool Privacy: An Economic Perspective,"Antoine Rondelet, Quintus Kilbourn",http://arxiv.org/pdf/2307.10878v3,2023-07-20
TWAP Oracle Attacks: Easier Done than Said?,"Torgin Mackinga, Tejaswi Nadahalli, Roger Wattenhofer",https://eprint.iacr.org/2022/445,2022-04-12
Front-running Attack in Sharded Blockchains and Fair Cross-shard Consensus,"Jianting Zhang, Wuhui Chen, Sifu Luo, Tiantian Gong, Zicong Hong, Aniket Kate",http://arxiv.org/pdf/2306.06299v2,2023-06-09
SoK: Decentralized Sequencers for Rollups,"Shashank Motepalli, Luciano Freitas, Benjamin Livshits",http://arxiv.org/pdf/2310.03616v1,2023-10-05
Shared Sequencing and Latency Competition as a Noisy Contest,"Akaki Mamageishvili, Jan Christoph Schlegel",http://arxiv.org/pdf/2310.02390v1,2023-10-03
Impermanent Loss in Uniswap v3,"Stefan Loesch, Nate Hindman, Mark B Richardson, Nicholas Welch",http://arxiv.org/pdf/2111.09192v1,2021-11-17
Neural Bellman-Ford Networks: A General Graph Neural Network Framework for Link Prediction,"Zhaocheng Zhu, Zuobai Zhang, Louis-Pascal Xhonneux, Jian Tang",http://arxiv.org/pdf/2106.06935v4,2021-06-13
Buying Time: Latency Racing vs. Bidding in Transaction Ordering,"Akaki Mamageishvili, Mahimna Kelkar, Jan Christoph Schlegel, Edward W. Felten",http://arxiv.org/pdf/2306.02179v2,2023-06-03
Optimal Auctions through Deep Learning: Advances in Differentiable Economics,"Paul Dütting, Zhe Feng, Harikrishna Narasimhan, David C. Parkes, Sai Srivatsa Ravindranath",http://arxiv.org/pdf/1706.03459v6,2017-06-12
Attacking the DeFi Ecosystem with Flash Loans for Fun and Profit,"Kaihua Qin, Liyi Zhou, Benjamin Livshits, Arthur Gervais",http://arxiv.org/pdf/2003.03810v4,2020-03-08
Verifiable evaluations of machine learning models using zkSNARKs,"Tobin South, Alexander Camuto, Shrey Jain, Shayla Nguyen, Robert Mahari, Christian Paquin, Jason Morton, Alex 'Sandy' Pentland",http://arxiv.org/pdf/2402.02675v1,2024-02-05
"Market making by an FX dealer: tiers, pricing ladders and hedging rates for optimal risk control","Alexander Barzykin, Philippe Bergault, Olivier Guéant",http://arxiv.org/pdf/2112.02269v3,2021-12-04
Predictable Losses of Liquidity Provision in Constant Function Markets and Concentrated Liquidity Markets,"Álvaro Cartea, Fayçal Drissi, Marcello Monga",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4541034,2023-08-29
Renegade Whitepaper,"Christopher Bender, Joseph Kraut",https://renegade.fi/whitepaper.pdf,2023-03-09
Order-Fairness for Byzantine Consensus,"Mahimna Kelkar, Fan Zhang, Steven Goldfeder, Ari Juels",https://eprint.iacr.org/2020/269,2020-08-09
"Empirical Analysis of EIP-1559: Transaction Fees, Waiting Time, and Consensus Security","Yulin Liu, Yuxuan Lu, Kartik Nayak, Fan Zhang, Luyao Zhang, Yinhong Zhao",http://arxiv.org/pdf/2201.05574v4,2022-01-14
Dynamical Analysis of the EIP-1559 Ethereum Fee Market,"Stefanos Leonardos, Barnabé Monnot, Daniël Reijsbergen, Stratis Skoulakis, Georgios Piliouras",http://arxiv.org/pdf/2102.10567v3,2021-02-21
The Cost of Misspecifying Price Impact,"Natascha Hey, Jean-Philippe Bouchaud, Iacopo Mastromatteo, Johannes Muhle-Karbe, Kevin Webster",http://arxiv.org/pdf/2306.00599v1,2023-06-01
Bullshark: DAG BFT Protocols Made Practical,"Alexander Spiegelman, Neil Giridharan, Alberto Sonnino, Lefteris Kokoris-Kogias",http://arxiv.org/pdf/2201.05677v3,2022-01-14
Cooperative and uncooperative institution designs: Surprises and problems in open-source game theory,"Andrew Critch, Michael Dennis, Stuart Russell",http://arxiv.org/pdf/2208.07006v1,2022-08-15
Quick Order Fairness,"Christian Cachin, Jovana Mićić, Nathalie Steinhauer, Luca Zanolini",http://arxiv.org/pdf/2112.06615v3,2021-12-13
FlashSyn: Flash Loan Attack Synthesis via Counter Example Driven Approximation,"Zhiyang Chen, Sidi Mohamed Beillahi, Fan Long",http://arxiv.org/pdf/2206.10708v2,2022-06-21
Account Abstraction Data Report-Half Year by Sixdegree,Sixdegree,https://sixdegree.xyz/research/Half-Year-Data-Report-of-ERC4337-by-Sixdegree.pdf,2023-09-26
Do not rug on me: Zero-dimensional Scam Detection,"Bruno Mazorra, Victor Adan, Vanesa Daza",http://arxiv.org/pdf/2201.07220v1,2022-01-16
Strategyproof Computing: Systems Infrastructures for Self-Interested Parties,"Chaki Ng, David C. Parkes, Margo Seltzer",https://dash.harvard.edu/bitstream/handle/1/4101256/Ng_Strategyproof.pdf?sequence=2,2003-06-05
Contingent Fees in Order Flow Auctions,Max Resnick,http://arxiv.org/pdf/2304.04981v1,2023-04-11
Battle of the Crypto Bots: Automated Transaction Copying in Decentralized Finance,"Mikolaj Barczentewicz, Alex F. Sarch, Natasha Vasan",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4411448,2023-04-25
"Specular: Towards Secure, Trust-minimized Optimistic Blockchain Execution","Zhe Ye, Ujval Misra, Jiajun Cheng, Wenyang Zhou, Dawn Song",http://arxiv.org/pdf/2212.05219v2,2022-12-10
Extractable Witness Encryption for KZG Commitments and Efficient Laconic OT,"Nils Fleischhacker, Mathias Hall-Andersen, Mark Simkin",https://eprint.iacr.org/2024/264,2024-02-19
Suboptimality in DeFi,"Aviv Yaish, Maya Dotan, Kaihua Qin, Aviv Zohar, Arthur Gervais",https://eprint.iacr.org/2023/892,2023-06-12
Deep Learning for Two-Sided Matching,"Sai Srivatsa Ravindranath, Zhe Feng, Shira Li, Jonathan Ma, Scott D. Kominers, David C. Parkes",http://arxiv.org/pdf/2107.03427v1,2021-07-07
While Stability Lasts: A Stochastic Model of Non-Custodial Stablecoins,"Ariah Klages-Mundt, Andreea Minca",http://arxiv.org/pdf/2004.01304v3,2020-04-02
BabySpartan: Lasso-based SNARK for non-uniform computation,"Srinath Setty, Justin Thaler",https://eprint.iacr.org/2023/1799,2023-11-24
Combining GHOST and Casper,"Vitalik Buterin, Diego Hernandez, Thor Kamphefner, Khiem Pham, Zhi Qiao, Danny Ryan, Juhyeok Sin, Ying Wang, Yan X Zhang",http://arxiv.org/pdf/2003.03052v3,2020-03-06
A General Theory of Liquidity Provisioning for Automated Market Makers,"Adithya Bhaskara, Rafael Frongillo, Maneesha Papireddygari",http://arxiv.org/pdf/2311.08725v1,2023-11-15
Blockchain Transaction Ordering as Market Manipulation,"Mikolaj Barczentewicz, Alex F. Sarch, Natasha Vasan",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4187752,2023-03-01
The Volume Clock: Insights into the High Frequency Paradigm,"David Easley, Marcos Lopez de Prado, Maureen O'Hara",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2034858,2019-05-30
Fraud and Data Availability Proofs: Maximising Light Client Security and Scaling Blockchains with Dishonest Majorities,"Mustafa Al-Bassam, Alberto Sonnino, Vitalik Buterin",http://arxiv.org/pdf/1809.09044v5,2018-09-24
Foundations of Transaction Fee Mechanism Design,"Hao Chung, Elaine Shi",http://arxiv.org/pdf/2111.03151v3,2021-11-04
When does the tail wag the dog? Curvature and market making,"Guillermo Angeris, Alex Evans, Tarun Chitra",https://angeris.github.io/papers/cfmm-curvature.pdf,2020-12-15
Effective and simple VWAP option pricing model,"Alexander Buryak, Ivan Guo",http://arxiv.org/pdf/1407.7315v1,2014-07-28
SoK: MEV Countermeasures: Theory and Practice,"Sen Yang, Fan Zhang, Ken Huang, Xi Chen, Youwei Yang, Feng Zhu",http://arxiv.org/pdf/2212.05111v2,2022-12-09
Speculative Denial-of-Service Attacks in Ethereum,"Aviv Yaish, Kaihua Qin, Liyi Zhou, Aviv Zohar, Arthur Gervais",https://eprint.iacr.org/2023/956,2023-06-19
Order-Fair Consensus in the Permissionless Setting,"Mahimna Kelkar, Soubhik Deb, Sreeram Kannan",https://eprint.iacr.org/2021/139,2021-02-10
Strategic Bidding Wars in On-chain Auctions,"Fei Wu, Thomas Thiery, Stefanos Leonardos, Carmine Ventre",http://arxiv.org/pdf/2312.14510v1,2023-12-22
Analyzing and Preventing Sandwich Attacks in Ethereum,Patrick Zust,https://pub.tik.ee.ethz.ch/students/2021-FS/BA-2021-07.pdf,2021-08-02
Augmenting Batch Exchanges with Constant Function Market Makers,"Geoffrey Ramseyer, Mohak Goyal, Ashish Goel, David Mazières",http://arxiv.org/pdf/2210.04929v5,2022-10-10
Automated Market Making and Loss-Versus-Rebalancing,"Jason Milionis, Ciamac C. Moallemi, Tim Roughgarden, Anthony Lee Zhang",http://arxiv.org/pdf/2208.06046v3,2022-08-11
What Can Cryptography Do For Decentralized Mechanism Design,"Elaine Shi, Hao Chung, Ke Wu",http://arxiv.org/pdf/2209.14462v4,2022-09-28
LedgerHedger: Gas Reservation for Smart-Contract Security,"Itay Tsabary, Alex Manuskin, Ittay Eyal",https://eprint.iacr.org/2022/056,2022-06-02
"A2MM: Mitigating Frontrunning, Transaction Reordering and Consensus Instability in Decentralized Exchanges","Liyi Zhou, Kaihua Qin, Arthur Gervais",http://arxiv.org/pdf/2106.07371v2,2021-06-14
Quantifying Blockchain Extractable Value: How dark is the forest?,"Kaihua Qin, Liyi Zhou, Arthur Gervais",http://arxiv.org/pdf/2101.05511v5,2021-01-14
Improving Proof of Stake Economic Security via MEV Redistribution,"Tarun Chitra, Kshitij Kulkarni",https://people.eecs.berkeley.edu/~ksk/files/MEV_Redistribution.pdf,2022-08-18
